?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"keratinocyte proliferation"	<http://purl.obolibrary.org/obo/GO_0043616>	3	14	0.214285714285714285714285
"lymphoid progenitor cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002320>	3	14	0.214285714285714285714285
"positive regulation of amyloid-beta formation"	<http://purl.obolibrary.org/obo/GO_1902004>	3	14	0.214285714285714285714285
"prostaglandin biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0001516>	6	28	0.214285714285714285714285
"lipid droplet organization"	<http://purl.obolibrary.org/obo/GO_0034389>	4	19	0.210526315789473684210526
"mammary gland epithelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060644>	4	19	0.210526315789473684210526
"negative regulation of pathway-restricted SMAD protein phosphorylation"	<http://purl.obolibrary.org/obo/GO_0060394>	4	19	0.210526315789473684210526
"positive regulation of tumor necrosis factor biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042535>	4	19	0.210526315789473684210526
"stress fiber assembly"	<http://purl.obolibrary.org/obo/GO_0043149>	4	19	0.210526315789473684210526
"lamellipodium assembly"	<http://purl.obolibrary.org/obo/GO_0030032>	9	44	0.204545454545454545454545
"Bergmann glial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060020>	2	10	0.2
"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002361>	1	5	0.2
"D-gluconate metabolic process"	<http://purl.obolibrary.org/obo/GO_0019521>	1	5	0.2
"G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger"	<http://purl.obolibrary.org/obo/GO_0007199>	1	5	0.2
"L-alanine metabolic process"	<http://purl.obolibrary.org/obo/GO_0042851>	1	5	0.2
"L-ascorbic acid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019853>	1	5	0.2
"Mullerian duct regression"	<http://purl.obolibrary.org/obo/GO_0001880>	1	5	0.2
"NK T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0001866>	1	5	0.2
"SNARE complex disassembly"	<http://purl.obolibrary.org/obo/GO_0035494>	1	5	0.2
"Wnt signaling pathway, calcium modulating pathway"	<http://purl.obolibrary.org/obo/GO_0007223>	1	5	0.2
"acyl carnitine transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1902616>	1	5	0.2
"acyl carnitine transport"	<http://purl.obolibrary.org/obo/GO_0006844>	1	5	0.2
"amygdala development"	<http://purl.obolibrary.org/obo/GO_0021764>	1	5	0.2
"antibody-dependent cellular cytotoxicity"	<http://purl.obolibrary.org/obo/GO_0001788>	1	5	0.2
"asparagine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006529>	1	5	0.2
"atrial septum primum morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003289>	1	5	0.2
"autophagic cell death"	<http://purl.obolibrary.org/obo/GO_0048102>	2	10	0.2
"autophagy of nucleus"	<http://purl.obolibrary.org/obo/GO_0044804>	1	5	0.2
"axon extension involved in axon guidance"	<http://purl.obolibrary.org/obo/GO_0048846>	2	10	0.2
"brain-derived neurotrophic factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0031547>	2	10	0.2
"branched-chain amino acid transport"	<http://purl.obolibrary.org/obo/GO_0015803>	1	5	0.2
"branching involved in blood vessel morphogenesis"	<http://purl.obolibrary.org/obo/GO_0001569>	8	40	0.2
"branching morphogenesis of a nerve"	<http://purl.obolibrary.org/obo/GO_0048755>	1	5	0.2
"canonical glycolysis"	<http://purl.obolibrary.org/obo/GO_0061621>	1	5	0.2
"carnitine transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1902603>	1	5	0.2
"cellular phosphate ion homeostasis"	<http://purl.obolibrary.org/obo/GO_0030643>	2	10	0.2
"cellular response to cobalt ion"	<http://purl.obolibrary.org/obo/GO_0071279>	1	5	0.2
"cellular response to fructose stimulus"	<http://purl.obolibrary.org/obo/GO_0071332>	1	5	0.2
"cellular response to lithium ion"	<http://purl.obolibrary.org/obo/GO_0071285>	4	20	0.2
"chondroblast differentiation"	<http://purl.obolibrary.org/obo/GO_0060591>	1	5	0.2
"chorio-allantoic fusion"	<http://purl.obolibrary.org/obo/GO_0060710>	2	10	0.2
"chromatin-mediated maintenance of transcription"	<http://purl.obolibrary.org/obo/GO_0048096>	2	10	0.2
"ciliary body morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061073>	1	5	0.2
"cobalamin transport"	<http://purl.obolibrary.org/obo/GO_0015889>	1	5	0.2
"dermatan sulfate proteoglycan biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0050651>	1	5	0.2
"detection of triacyl bacterial lipopeptide"	<http://purl.obolibrary.org/obo/GO_0042495>	1	5	0.2
"detection of virus"	<http://purl.obolibrary.org/obo/GO_0009597>	1	5	0.2
"determination of left/right asymmetry in lateral mesoderm"	<http://purl.obolibrary.org/obo/GO_0003140>	1	5	0.2
"early endosome to Golgi transport"	<http://purl.obolibrary.org/obo/GO_0034498>	2	10	0.2
"epithelial cell differentiation involved in mammary gland alveolus development"	<http://purl.obolibrary.org/obo/GO_0061030>	1	5	0.2
"epithelial cell-cell adhesion"	<http://purl.obolibrary.org/obo/GO_0090136>	4	20	0.2
"establishment of blood-nerve barrier"	<http://purl.obolibrary.org/obo/GO_0008065>	1	5	0.2
"exocrine pancreas development"	<http://purl.obolibrary.org/obo/GO_0031017>	2	10	0.2
"exocyst localization"	<http://purl.obolibrary.org/obo/GO_0051601>	2	10	0.2
"farnesyl diphosphate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045337>	1	5	0.2
"glutamate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006537>	1	5	0.2
"glutamine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006542>	1	5	0.2
"glycerol metabolic process"	<http://purl.obolibrary.org/obo/GO_0006071>	5	25	0.2
"glycerol-3-phosphate catabolic process"	<http://purl.obolibrary.org/obo/GO_0046168>	1	5	0.2
"glycoprotein transport"	<http://purl.obolibrary.org/obo/GO_0034436>	1	5	0.2
"heart trabecula formation"	<http://purl.obolibrary.org/obo/GO_0060347>	3	15	0.2
"high-density lipoprotein particle assembly"	<http://purl.obolibrary.org/obo/GO_0034380>	2	10	0.2
"histone H3-S10 phosphorylation"	<http://purl.obolibrary.org/obo/GO_0043987>	1	5	0.2
"keratinocyte migration"	<http://purl.obolibrary.org/obo/GO_0051546>	1	5	0.2
"leukemia inhibitory factor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0048861>	1	5	0.2
"lung vasculature development"	<http://purl.obolibrary.org/obo/GO_0060426>	2	10	0.2
"lymphangiogenesis"	<http://purl.obolibrary.org/obo/GO_0001946>	3	15	0.2
"maintenance of permeability of blood-brain barrier"	<http://purl.obolibrary.org/obo/GO_0035633>	1	5	0.2
"malate-aspartate shuttle"	<http://purl.obolibrary.org/obo/GO_0043490>	1	5	0.2
"membranous septum morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003149>	2	10	0.2
"mesenchymal to epithelial transition involved in metanephros morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003337>	2	10	0.2
"mesendoderm development"	<http://purl.obolibrary.org/obo/GO_0048382>	1	5	0.2
"monocyte extravasation"	<http://purl.obolibrary.org/obo/GO_0035696>	1	5	0.2
"muscular septum morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003150>	1	5	0.2
"myoblast fate commitment"	<http://purl.obolibrary.org/obo/GO_0048625>	1	5	0.2
"negative regulation of MHC class II biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045347>	1	5	0.2
"negative regulation of Rac protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0035021>	1	5	0.2
"negative regulation of SMAD protein complex assembly"	<http://purl.obolibrary.org/obo/GO_0010991>	2	10	0.2
"negative regulation of T cell migration"	<http://purl.obolibrary.org/obo/GO_2000405>	1	5	0.2
"negative regulation of bile acid biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0070858>	1	5	0.2
"negative regulation of branching morphogenesis of a nerve"	<http://purl.obolibrary.org/obo/GO_2000173>	1	5	0.2
"negative regulation of cell adhesion mediated by integrin"	<http://purl.obolibrary.org/obo/GO_0033629>	2	10	0.2
"negative regulation of cell proliferation involved in contact inhibition"	<http://purl.obolibrary.org/obo/GO_0060244>	1	5	0.2
"negative regulation of collateral sprouting"	<http://purl.obolibrary.org/obo/GO_0048671>	2	10	0.2
"negative regulation of dendritic spine maintenance"	<http://purl.obolibrary.org/obo/GO_1902951>	1	5	0.2
"negative regulation of dopamine secretion"	<http://purl.obolibrary.org/obo/GO_0033602>	1	5	0.2
"negative regulation of fibrinolysis"	<http://purl.obolibrary.org/obo/GO_0051918>	2	10	0.2
"negative regulation of glucokinase activity"	<http://purl.obolibrary.org/obo/GO_0033132>	1	5	0.2
"negative regulation of interferon-gamma production"	<http://purl.obolibrary.org/obo/GO_0032689>	8	40	0.2
"negative regulation of megakaryocyte differentiation"	<http://purl.obolibrary.org/obo/GO_0045653>	1	5	0.2
"negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003340>	1	5	0.2
"negative regulation of mitochondrial DNA metabolic process"	<http://purl.obolibrary.org/obo/GO_1901859>	1	5	0.2
"negative regulation of neutrophil apoptotic process"	<http://purl.obolibrary.org/obo/GO_0033030>	1	5	0.2
"negative regulation of peptidyl-serine dephosphorylation"	<http://purl.obolibrary.org/obo/GO_1902309>	1	5	0.2
"negative regulation of protein kinase C signaling"	<http://purl.obolibrary.org/obo/GO_0090038>	1	5	0.2
"negative regulation of synaptic transmission, dopaminergic"	<http://purl.obolibrary.org/obo/GO_0032227>	1	5	0.2
"nitrobenzene metabolic process"	<http://purl.obolibrary.org/obo/GO_0018916>	1	5	0.2
"olfactory bulb mitral cell layer development"	<http://purl.obolibrary.org/obo/GO_0061034>	1	5	0.2
"peripheral nervous system axon regeneration"	<http://purl.obolibrary.org/obo/GO_0014012>	1	5	0.2
"peroxisome membrane biogenesis"	<http://purl.obolibrary.org/obo/GO_0016557>	1	5	0.2
"plasma membrane to endosome transport"	<http://purl.obolibrary.org/obo/GO_0048227>	2	10	0.2
"platelet activating factor biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006663>	1	5	0.2
"positive regulation of B cell apoptotic process"	<http://purl.obolibrary.org/obo/GO_0002904>	1	5	0.2
"positive regulation of G0 to G1 transition"	<http://purl.obolibrary.org/obo/GO_0070318>	1	5	0.2
"positive regulation of MHC class II biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045348>	2	10	0.2
"positive regulation of Notch signaling pathway involved in heart induction"	<http://purl.obolibrary.org/obo/GO_0035481>	1	5	0.2
"positive regulation of apoptotic cell clearance"	<http://purl.obolibrary.org/obo/GO_2000427>	1	5	0.2
"positive regulation of branching involved in lung morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061047>	1	5	0.2
"positive regulation of cerebellar granule cell precursor proliferation"	<http://purl.obolibrary.org/obo/GO_0021940>	2	10	0.2
"positive regulation of chronic inflammatory response"	<http://purl.obolibrary.org/obo/GO_0002678>	1	5	0.2
"positive regulation of glycogen (starch) synthase activity"	<http://purl.obolibrary.org/obo/GO_2000467>	1	5	0.2
"positive regulation of interleukin-1 alpha secretion"	<http://purl.obolibrary.org/obo/GO_0050717>	1	5	0.2
"positive regulation of mRNA polyadenylation"	<http://purl.obolibrary.org/obo/GO_1900365>	1	5	0.2
"positive regulation of mast cell proliferation"	<http://purl.obolibrary.org/obo/GO_0070668>	1	5	0.2
"positive regulation of mitochondrial fusion"	<http://purl.obolibrary.org/obo/GO_0010636>	1	5	0.2
"positive regulation of myoblast proliferation"	<http://purl.obolibrary.org/obo/GO_2000288>	2	10	0.2
"positive regulation of osteoclast development"	<http://purl.obolibrary.org/obo/GO_2001206>	1	5	0.2
"positive regulation of phospholipid efflux"	<http://purl.obolibrary.org/obo/GO_1902995>	1	5	0.2
"positive regulation of smooth muscle cell chemotaxis"	<http://purl.obolibrary.org/obo/GO_0071673>	1	5	0.2
"positive regulation of synapse structural plasticity"	<http://purl.obolibrary.org/obo/GO_0051835>	1	5	0.2
"positive regulation of vascular wound healing"	<http://purl.obolibrary.org/obo/GO_0035470>	1	5	0.2
"positive regulation of vasculogenesis"	<http://purl.obolibrary.org/obo/GO_2001214>	2	10	0.2
"re-entry into mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0000320>	1	5	0.2
"regulation of centromeric sister chromatid cohesion"	<http://purl.obolibrary.org/obo/GO_0070602>	1	5	0.2
"regulation of corticotropin-releasing hormone secretion"	<http://purl.obolibrary.org/obo/GO_0043397>	1	5	0.2
"regulation of dendritic cell cytokine production"	<http://purl.obolibrary.org/obo/GO_0002730>	3	15	0.2
"regulation of kidney size"	<http://purl.obolibrary.org/obo/GO_0035564>	1	5	0.2
"regulation of pro-B cell differentiation"	<http://purl.obolibrary.org/obo/GO_2000973>	2	10	0.2
"release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"	<http://purl.obolibrary.org/obo/GO_0014808>	2	10	0.2
"response to luteinizing hormone"	<http://purl.obolibrary.org/obo/GO_0034699>	1	5	0.2
"serotonin uptake"	<http://purl.obolibrary.org/obo/GO_0051610>	1	5	0.2
"skeletal muscle satellite cell differentiation"	<http://purl.obolibrary.org/obo/GO_0014816>	1	5	0.2
"soft palate development"	<http://purl.obolibrary.org/obo/GO_0060023>	1	5	0.2
"surfactant homeostasis"	<http://purl.obolibrary.org/obo/GO_0043129>	4	20	0.2
"synaptic growth at neuromuscular junction"	<http://purl.obolibrary.org/obo/GO_0051124>	1	5	0.2
"synaptic transmission involved in micturition"	<http://purl.obolibrary.org/obo/GO_0060084>	1	5	0.2
"toll-like receptor 2 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0034134>	2	10	0.2
"toll-like receptor 7 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0034154>	2	10	0.2
"tumor necrosis factor production"	<http://purl.obolibrary.org/obo/GO_0032640>	1	5	0.2
"urea transport"	<http://purl.obolibrary.org/obo/GO_0015840>	2	10	0.2
"vesicle targeting, trans-Golgi to endosome"	<http://purl.obolibrary.org/obo/GO_0048203>	1	5	0.2
"water transport"	<http://purl.obolibrary.org/obo/GO_0006833>	4	20	0.2
"blood vessel remodeling"	<http://purl.obolibrary.org/obo/GO_0001974>	9	46	0.195652173913043478260869
"positive regulation of blood coagulation"	<http://purl.obolibrary.org/obo/GO_0030194>	6	31	0.193548387096774193548387
"cardiac right ventricle morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003215>	4	21	0.190476190476190476190476
"positive regulation of glycolytic process"	<http://purl.obolibrary.org/obo/GO_0045821>	4	21	0.190476190476190476190476
"regulation of transcription involved in cell fate commitment"	<http://purl.obolibrary.org/obo/GO_0060850>	4	21	0.190476190476190476190476
"cytolysis"	<http://purl.obolibrary.org/obo/GO_0019835>	6	32	0.1875
"fatty acid homeostasis"	<http://purl.obolibrary.org/obo/GO_0055089>	3	16	0.1875
"glycogen catabolic process"	<http://purl.obolibrary.org/obo/GO_0005980>	3	16	0.1875
"negative regulation of keratinocyte proliferation"	<http://purl.obolibrary.org/obo/GO_0010839>	3	16	0.1875
"positive regulation of T cell chemotaxis"	<http://purl.obolibrary.org/obo/GO_0010820>	3	16	0.1875
"positive regulation of collateral sprouting"	<http://purl.obolibrary.org/obo/GO_0048672>	3	16	0.1875
"positive regulation of monocyte chemotaxis"	<http://purl.obolibrary.org/obo/GO_0090026>	6	32	0.1875
"thrombin-activated receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0070493>	3	16	0.1875
"embryonic hemopoiesis"	<http://purl.obolibrary.org/obo/GO_0035162>	5	27	0.185185185185185185185185
"negative regulation of GTPase activity"	<http://purl.obolibrary.org/obo/GO_0034260>	9	49	0.183673469387755102040816
"cellular chloride ion homeostasis"	<http://purl.obolibrary.org/obo/GO_0030644>	2	11	0.181818181818181818181818
"cellular response to bacterial lipopeptide"	<http://purl.obolibrary.org/obo/GO_0071221>	2	11	0.181818181818181818181818
"cellular response to caffeine"	<http://purl.obolibrary.org/obo/GO_0071313>	2	11	0.181818181818181818181818
"embryonic foregut morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048617>	2	11	0.181818181818181818181818
"embryonic viscerocranium morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048703>	2	11	0.181818181818181818181818
"enamel mineralization"	<http://purl.obolibrary.org/obo/GO_0070166>	2	11	0.181818181818181818181818
"extracellular negative regulation of signal transduction"	<http://purl.obolibrary.org/obo/GO_1900116>	2	11	0.181818181818181818181818
"heparan sulfate proteoglycan catabolic process"	<http://purl.obolibrary.org/obo/GO_0030200>	2	11	0.181818181818181818181818
"hyaluronan biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0030213>	2	11	0.181818181818181818181818
"immature B cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002327>	2	11	0.181818181818181818181818
"mitochondrial protein catabolic process"	<http://purl.obolibrary.org/obo/GO_0035694>	2	11	0.181818181818181818181818
"necroptotic process"	<http://purl.obolibrary.org/obo/GO_0070266>	4	22	0.181818181818181818181818
"negative regulation of osteoblast proliferation"	<http://purl.obolibrary.org/obo/GO_0033689>	2	11	0.181818181818181818181818
"negative regulation of plasminogen activation"	<http://purl.obolibrary.org/obo/GO_0010757>	2	11	0.181818181818181818181818
"olfactory bulb interneuron development"	<http://purl.obolibrary.org/obo/GO_0021891>	2	11	0.181818181818181818181818
"outer ear morphogenesis"	<http://purl.obolibrary.org/obo/GO_0042473>	2	11	0.181818181818181818181818
"peroxisome proliferator activated receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0035357>	2	11	0.181818181818181818181818
"positive regulation of penile erection"	<http://purl.obolibrary.org/obo/GO_0060406>	2	11	0.181818181818181818181818
"positive regulation of synapse maturation"	<http://purl.obolibrary.org/obo/GO_0090129>	2	11	0.181818181818181818181818
"self proteolysis"	<http://purl.obolibrary.org/obo/GO_0097264>	2	11	0.181818181818181818181818
"apoptotic cell clearance"	<http://purl.obolibrary.org/obo/GO_0043277>	7	39	0.179487179487179487179487
"I-kappaB phosphorylation"	<http://purl.obolibrary.org/obo/GO_0007252>	5	28	0.178571428571428571428571
"somatic stem cell division"	<http://purl.obolibrary.org/obo/GO_0048103>	5	28	0.178571428571428571428571
"transcription, DNA-templated"	<http://purl.obolibrary.org/obo/GO_0006351>	137	771	0.177691309987029831387808
"chondroitin sulfate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0030206>	3	17	0.176470588235294117647058
"keratinocyte development"	<http://purl.obolibrary.org/obo/GO_0003334>	3	17	0.176470588235294117647058
"leukotriene biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019370>	3	17	0.176470588235294117647058
"negative regulation of vascular permeability"	<http://purl.obolibrary.org/obo/GO_0043116>	3	17	0.176470588235294117647058
"plasminogen activation"	<http://purl.obolibrary.org/obo/GO_0031639>	3	17	0.176470588235294117647058
"positive regulation of podosome assembly"	<http://purl.obolibrary.org/obo/GO_0071803>	3	17	0.176470588235294117647058
"positive regulation of vascular endothelial growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030949>	3	17	0.176470588235294117647058
"triglyceride catabolic process"	<http://purl.obolibrary.org/obo/GO_0019433>	3	17	0.176470588235294117647058
"vasculogenesis"	<http://purl.obolibrary.org/obo/GO_0001570>	18	102	0.176470588235294117647058
"lipid storage"	<http://purl.obolibrary.org/obo/GO_0019915>	7	40	0.175
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules"	<http://purl.obolibrary.org/obo/GO_0007157>	11	63	0.174603174603174603174603
"adenosine receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0001973>	4	23	0.173913043478260869565217
"positive regulation of membrane protein ectodomain proteolysis"	<http://purl.obolibrary.org/obo/GO_0051044>	4	23	0.173913043478260869565217
"negative regulation of extrinsic apoptotic signaling pathway in absence of ligand"	<http://purl.obolibrary.org/obo/GO_2001240>	6	35	0.171428571428571428571428
"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"	<http://purl.obolibrary.org/obo/GO_0070059>	7	41	0.170731707317073170731707
"negative regulation of Notch signaling pathway"	<http://purl.obolibrary.org/obo/GO_0045746>	7	41	0.170731707317073170731707
"ADP biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006172>	1	6	0.166666666666666666666666
"AMPA glutamate receptor clustering"	<http://purl.obolibrary.org/obo/GO_0097113>	1	6	0.166666666666666666666666
"L-ornithine transmembrane transport"	<http://purl.obolibrary.org/obo/GO_1903352>	2	12	0.166666666666666666666666
"NADH oxidation"	<http://purl.obolibrary.org/obo/GO_0006116>	1	6	0.166666666666666666666666
"adenosine metabolic process"	<http://purl.obolibrary.org/obo/GO_0046085>	2	12	0.166666666666666666666666
"base-excision repair, gap-filling"	<http://purl.obolibrary.org/obo/GO_0006287>	1	6	0.166666666666666666666666
"basement membrane assembly"	<http://purl.obolibrary.org/obo/GO_0070831>	1	6	0.166666666666666666666666
"basement membrane disassembly"	<http://purl.obolibrary.org/obo/GO_0034769>	1	6	0.166666666666666666666666
"bile acid secretion"	<http://purl.obolibrary.org/obo/GO_0032782>	1	6	0.166666666666666666666666
"biphenyl metabolic process"	<http://purl.obolibrary.org/obo/GO_0018879>	1	6	0.166666666666666666666666
"cellular response to triacyl bacterial lipopeptide"	<http://purl.obolibrary.org/obo/GO_0071727>	1	6	0.166666666666666666666666
"cobalt ion transport"	<http://purl.obolibrary.org/obo/GO_0006824>	1	6	0.166666666666666666666666
"complement component C5a signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038178>	1	6	0.166666666666666666666666
"creatine transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0015881>	1	6	0.166666666666666666666666
"detection of hypoxia"	<http://purl.obolibrary.org/obo/GO_0070483>	1	6	0.166666666666666666666666
"dorsal/ventral axis specification"	<http://purl.obolibrary.org/obo/GO_0009950>	2	12	0.166666666666666666666666
"ectodermal cell differentiation"	<http://purl.obolibrary.org/obo/GO_0010668>	1	6	0.166666666666666666666666
"epithelial-mesenchymal cell signaling"	<http://purl.obolibrary.org/obo/GO_0060684>	1	6	0.166666666666666666666666
"establishment of T cell polarity"	<http://purl.obolibrary.org/obo/GO_0001768>	1	6	0.166666666666666666666666
"farnesyl diphosphate metabolic process"	<http://purl.obolibrary.org/obo/GO_0045338>	1	6	0.166666666666666666666666
"gamma-aminobutyric acid secretion"	<http://purl.obolibrary.org/obo/GO_0014051>	1	6	0.166666666666666666666666
"gamma-delta T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0042492>	1	6	0.166666666666666666666666
"glucosylceramide metabolic process"	<http://purl.obolibrary.org/obo/GO_0006678>	1	6	0.166666666666666666666666
"glutamine transport"	<http://purl.obolibrary.org/obo/GO_0006868>	1	6	0.166666666666666666666666
"glycerol-3-phosphate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0046167>	1	6	0.166666666666666666666666
"glycine biosynthetic process from serine"	<http://purl.obolibrary.org/obo/GO_0019264>	1	6	0.166666666666666666666666
"hard palate development"	<http://purl.obolibrary.org/obo/GO_0060022>	1	6	0.166666666666666666666666
"hematopoietic stem cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060218>	2	12	0.166666666666666666666666
"hypoxia-inducible factor-1alpha signaling pathway"	<http://purl.obolibrary.org/obo/GO_0097411>	1	6	0.166666666666666666666666
"insulin metabolic process"	<http://purl.obolibrary.org/obo/GO_1901142>	2	12	0.166666666666666666666666
"interleukin-1 alpha production"	<http://purl.obolibrary.org/obo/GO_0032610>	1	6	0.166666666666666666666666
"interleukin-4 secretion"	<http://purl.obolibrary.org/obo/GO_0072602>	1	6	0.166666666666666666666666
"lateral ventricle development"	<http://purl.obolibrary.org/obo/GO_0021670>	2	12	0.166666666666666666666666
"lung-associated mesenchyme development"	<http://purl.obolibrary.org/obo/GO_0060484>	2	12	0.166666666666666666666666
"mast cell chemotaxis"	<http://purl.obolibrary.org/obo/GO_0002551>	1	6	0.166666666666666666666666
"mature conventional dendritic cell differentiation"	<http://purl.obolibrary.org/obo/GO_0097029>	1	6	0.166666666666666666666666
"metaphase/anaphase transition of mitotic cell cycle"	<http://purl.obolibrary.org/obo/GO_0007091>	1	6	0.166666666666666666666666
"negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding"	<http://purl.obolibrary.org/obo/GO_1903026>	1	6	0.166666666666666666666666
"negative regulation of T-helper 1 type immune response"	<http://purl.obolibrary.org/obo/GO_0002826>	1	6	0.166666666666666666666666
"negative regulation of activation of membrane attack complex"	<http://purl.obolibrary.org/obo/GO_0001971>	1	6	0.166666666666666666666666
"negative regulation of amyloid-beta clearance"	<http://purl.obolibrary.org/obo/GO_1900222>	1	6	0.166666666666666666666666
"negative regulation of cardiac muscle contraction"	<http://purl.obolibrary.org/obo/GO_0055118>	1	6	0.166666666666666666666666
"negative regulation of dendritic cell apoptotic process"	<http://purl.obolibrary.org/obo/GO_2000669>	1	6	0.166666666666666666666666
"negative regulation of female receptivity"	<http://purl.obolibrary.org/obo/GO_0007621>	1	6	0.166666666666666666666666
"negative regulation of glucagon secretion"	<http://purl.obolibrary.org/obo/GO_0070093>	1	6	0.166666666666666666666666
"negative regulation of interleukin-2 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045085>	1	6	0.166666666666666666666666
"negative regulation of interleukin-6 secretion"	<http://purl.obolibrary.org/obo/GO_1900165>	2	12	0.166666666666666666666666
"negative regulation of macrophage differentiation"	<http://purl.obolibrary.org/obo/GO_0045650>	1	6	0.166666666666666666666666
"negative regulation of microtubule polymerization"	<http://purl.obolibrary.org/obo/GO_0031115>	3	18	0.166666666666666666666666
"negative regulation of motor neuron apoptotic process"	<http://purl.obolibrary.org/obo/GO_2000672>	1	6	0.166666666666666666666666
"negative regulation of neurotrophin TRK receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0051387>	1	6	0.166666666666666666666666
"negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_1903377>	1	6	0.166666666666666666666666
"negative regulation of pancreatic juice secretion"	<http://purl.obolibrary.org/obo/GO_0090188>	1	6	0.166666666666666666666666
"negative regulation of pinocytosis"	<http://purl.obolibrary.org/obo/GO_0048550>	1	6	0.166666666666666666666666
"negative regulation of serine-type endopeptidase activity"	<http://purl.obolibrary.org/obo/GO_1900004>	1	6	0.166666666666666666666666
"negative regulation of smooth muscle cell chemotaxis"	<http://purl.obolibrary.org/obo/GO_0071672>	1	6	0.166666666666666666666666
"negative regulation of syncytium formation by plasma membrane fusion"	<http://purl.obolibrary.org/obo/GO_0034242>	1	6	0.166666666666666666666666
"negative regulation of trophoblast cell migration"	<http://purl.obolibrary.org/obo/GO_1901164>	1	6	0.166666666666666666666666
"neurotransmitter catabolic process"	<http://purl.obolibrary.org/obo/GO_0042135>	4	24	0.166666666666666666666666
"nodal signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038092>	2	12	0.166666666666666666666666
"noradrenergic neuron differentiation"	<http://purl.obolibrary.org/obo/GO_0003357>	1	6	0.166666666666666666666666
"organ induction"	<http://purl.obolibrary.org/obo/GO_0001759>	4	24	0.166666666666666666666666
"osteoblast fate commitment"	<http://purl.obolibrary.org/obo/GO_0002051>	1	6	0.166666666666666666666666
"positive regulation by virus of viral protein levels in host cell"	<http://purl.obolibrary.org/obo/GO_0046726>	1	6	0.166666666666666666666666
"positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0090080>	1	6	0.166666666666666666666666
